,avg_reward,best_reward,episode,q_vals,avg_steps,best_steps
0,-1.0,-1,0,0.40883931517601013,8.0,9
1,-1.0,-1,50,0.15164431929588318,6.9,15
2,-1.0,-1,100,0.04392494633793831,6.0,6
3,-1.0,-1,150,0.029272517189383507,10.7,11
4,-1.0,-1,200,-0.0741785317659378,6.9,7
5,-1.0,-1,250,0.023539062589406967,6.7,9
6,-1.0,-1,300,-0.15094563364982605,11.8,22
7,-1.0,-1,350,-0.11892613023519516,14.0,22
8,-1.0,-1,400,-0.20389491319656372,14.4,22
9,-1.0,-1,450,-0.3206038773059845,12.1,22
10,-1.0,-1,500,-0.3515033721923828,17.3,23
11,-1.0,-1,550,-0.4323209524154663,16.9,22
12,-1.0,-1,600,-0.45328736305236816,14.9,17
13,-1.0,-1,650,-0.4262186586856842,22.2,26
14,-1.0,-1,700,-0.3810198903083801,6.0,6
15,-1.0,-1,750,-0.41491827368736267,6.0,6
16,-1.0,-1,800,-0.48966529965400696,6.0,6
17,-1.0,-1,850,-0.46354255080223083,14.5,19
18,-1.0,-1,900,-0.43181630969047546,14.9,22
19,-1.0,-1,950,-0.45671921968460083,6.0,6
20,-1.0,-1,1000,-0.5102829933166504,6.0,6
21,-1.0,-1,1050,-0.4742598533630371,6.0,6
22,-1.0,-1,1100,-0.5493102669715881,17.3,23
23,-1.0,-1,1150,-0.4729507267475128,12.9,23
24,-1.0,-1,1200,-0.4768235981464386,7.0,7
25,-1.0,-1,1250,-0.5236597061157227,17.7,19
26,-1.0,-1,1300,-0.5370821952819824,14.3,22
27,-1.0,-1,1350,-0.46175265312194824,15.1,24
28,-1.0,-1,1400,-0.5084771513938904,15.4,19
29,-1.0,-1,1450,-0.571946382522583,13.1,18
30,-1.0,-1,1500,-0.548469603061676,7.6,22
31,-1.0,-1,1550,-0.5771148204803467,20.8,23
32,-1.0,-1,1600,-0.6111394762992859,6.0,6
33,-1.0,-1,1650,-0.6169089674949646,20.3,24
34,-1.0,-1,1700,-0.6525313258171082,7.4,13
35,-1.0,-1,1750,-0.5881012082099915,7.7,23
36,-1.0,-1,1800,-0.6432653665542603,11.5,21
37,-1.0,-1,1850,-0.6185789108276367,20.5,24
38,-1.0,-1,1900,-0.6132636070251465,18.9,22
39,-1.0,-1,1950,-0.6161088347434998,16.0,22
