,avg_reward,best_reward,episode,q_vals,avg_steps,best_steps
0,-1.0,-1,0,0.7059991955757141,6.0,6
1,-1.0,-1,50,0.4190957248210907,11.6,14
2,-1.0,-1,100,0.14920485019683838,6.7,7
3,-1.0,-1,150,0.16444222629070282,6.0,6
4,-1.0,-1,200,-0.08501038700342178,6.0,6
5,-1.0,-1,250,-0.04519354924559593,19.7,30
6,-1.0,-1,300,-0.1410820037126541,16.6,19
7,-1.0,-1,350,0.012671706266701221,18.6,22
8,-1.0,-1,400,-0.10056214034557343,21.8,28
9,-1.0,-1,450,-0.12493269145488739,9.4,11
10,-1.0,-1,500,-0.2081502079963684,6.0,6
11,-1.0,-1,550,-0.3701450228691101,18.5,25
12,-1.0,-1,600,-0.3948298692703247,14.7,24
13,-1.0,-1,650,-0.39206260442733765,15.1,22
14,-1.0,-1,700,-0.36093565821647644,6.6,12
15,-1.0,-1,750,-0.30136188864707947,6.0,6
16,-1.0,-1,800,-0.36369556188583374,6.0,6
17,-1.0,-1,850,-0.3637213110923767,13.8,22
18,-1.0,-1,900,-0.3840721547603607,6.0,6
19,-1.0,-1,950,-0.3798274099826813,15.1,24
20,-1.0,-1,1000,-0.4161665439605713,21.4,23
21,-1.0,-1,1050,-0.3400387465953827,10.0,22
22,-1.0,-1,1100,-0.4561055600643158,10.2,12
23,-1.0,-1,1150,-0.3815195858478546,19.0,22
24,-1.0,-1,1200,-0.47481077909469604,17.3,26
25,-1.0,-1,1250,-0.43316885828971863,18.2,25
26,-1.0,-1,1300,-0.5138965249061584,18.1,23
27,-1.0,-1,1350,-0.5504847764968872,13.8,22
28,-1.0,-1,1400,-0.5444583296775818,19.9,28
29,-1.0,-1,1450,-0.574730396270752,21.2,23
30,-1.0,-1,1500,-0.6206861734390259,9.8,25
31,-1.0,-1,1550,-0.6475218534469604,15.9,22
32,-1.0,-1,1600,-0.6569386720657349,14.8,21
33,-1.0,-1,1650,-0.654380738735199,10.7,17
34,-1.0,-1,1700,-0.619326651096344,14.8,19
35,-1.0,-1,1750,-0.6289085745811462,17.9,22
36,-1.0,-1,1800,-0.6746488213539124,11.4,18
37,-1.0,-1,1850,-0.6740701794624329,14.4,19
38,-1.0,-1,1900,-0.7293673157691956,16.6,23
39,-1.0,-1,1950,-0.7005985379219055,11.0,21
40,-1.0,-1,2000,-0.7196853160858154,7.0,7
41,-1.0,-1,2050,-0.7116115093231201,13.7,22
42,-1.0,-1,2100,-0.7171986103057861,7.0,7
43,-1.0,-1,2150,-0.7415570616722107,18.5,23
44,-1.0,-1,2200,-0.7810854911804199,13.6,14
45,-1.0,-1,2250,-0.7491872310638428,14.5,26
46,-1.0,-1,2300,-0.7725430130958557,23.2,33
47,-1.0,-1,2350,-0.7823050618171692,15.6,23
48,-1.0,-1,2400,-0.813823401927948,6.0,6
49,-1.0,-1,2450,-0.7985764741897583,15.8,22
50,-1.0,-1,2500,-0.8018853664398193,12.0,16
51,-1.0,-1,2550,-0.8125808238983154,11.9,20
52,-1.0,-1,2600,-0.8181635737419128,16.7,25
53,-1.0,-1,2650,-0.8327459096908569,6.0,6
54,-1.0,-1,2700,-0.8448794484138489,18.6,24
55,-1.0,-1,2750,-0.8044239282608032,8.7,18
56,-1.0,-1,2800,-0.8269227147102356,11.3,22
57,-1.0,-1,2850,-0.8396307826042175,16.4,27
58,-1.0,-1,2900,-0.8278376460075378,14.2,19
59,-1.0,-1,2950,-0.845544695854187,14.1,23
60,-1.0,-1,3000,-0.8484858870506287,6.0,6
61,-1.0,-1,3050,-0.8598940372467041,13.2,22
62,-1.0,-1,3100,-0.8584678769111633,10.4,13
63,-1.0,-1,3150,-0.8652662634849548,18.4,26
64,-1.0,-1,3200,-0.8579840064048767,7.0,16
65,-1.0,-1,3250,-0.8529748916625977,8.3,24
66,-1.0,-1,3300,-0.8680053353309631,8.9,15
67,-1.0,-1,3350,-0.8778835535049438,18.1,26
68,-1.0,-1,3400,-0.8833786249160767,6.0,6
69,-1.0,-1,3450,-0.8788409233093262,18.2,23
70,-1.0,-1,3500,-0.8640308380126953,7.0,7
71,-1.0,-1,3550,-0.8869314193725586,6.0,6
72,-1.0,-1,3600,-0.8899279832839966,18.4,24
73,-1.0,-1,3650,-0.8976523280143738,7.0,7
74,-1.0,-1,3700,-0.8873334527015686,8.1,13
75,-1.0,-1,3750,-0.9006441831588745,12.7,21
76,-1.0,-1,3800,-0.8901188373565674,8.1,13
77,-1.0,-1,3850,-0.9010991454124451,12.7,21
78,-1.0,-1,3900,-0.8888803124427795,8.1,18
79,-1.0,-1,3950,-0.8924379348754883,12.3,18
80,-1.0,-1,4000,-0.884250283241272,10.5,23
81,-1.0,-1,4050,-0.8963668942451477,14.6,24
82,-1.0,-1,4100,-0.8878067135810852,8.5,22
83,-1.0,-1,4150,-0.8774585723876953,7.9,15
84,-1.0,-1,4200,-0.8843286633491516,7.0,7
85,-1.0,-1,4250,-0.8914934992790222,19.4,23
86,-1.0,-1,4300,-0.8847665786743164,20.4,26
87,-1.0,-1,4350,-0.8930258750915527,18.5,22
88,-1.0,-1,4400,-0.8879842758178711,19.0,23
89,-1.0,-1,4450,-0.8912758827209473,14.3,21
90,-1.0,-1,4500,-0.8801999688148499,15.2,23
91,-1.0,-1,4550,-0.8798201680183411,22.6,26
92,-1.0,-1,4600,-0.8745138049125671,11.3,22
93,-1.0,-1,4650,-0.8930864930152893,10.8,22
94,-1.0,-1,4700,-0.8821094036102295,17.5,25
95,-1.0,-1,4750,-0.8755641579627991,22.9,29
96,-1.0,-1,4800,-0.8872774839401245,24.1,28
97,-1.0,-1,4850,-0.8840717077255249,17.2,22
98,-1.0,-1,4900,-0.8952516913414001,18.5,22
99,-1.0,-1,4950,-0.8944833874702454,14.6,22
100,-1.0,-1,5000,-0.8881240487098694,15.0,15
101,-1.0,-1,5050,-0.8893551826477051,19.0,22
102,-1.0,-1,5100,-0.8893399238586426,12.3,13
103,-1.0,-1,5150,-0.896625280380249,15.2,25
104,-1.0,-1,5200,-0.8942010402679443,6.7,7
105,-1.0,-1,5250,-0.8889985680580139,19.0,25
106,-1.0,-1,5300,-0.888859212398529,21.5,23
107,-1.0,-1,5350,-0.8793466091156006,6.0,6
108,-1.0,-1,5400,-0.8860917687416077,9.2,20
109,-1.0,-1,5450,-0.890983521938324,17.6,18
110,-1.0,-1,5500,-0.8738972544670105,18.0,27
111,-1.0,-1,5550,-0.8865114450454712,19.6,24
112,-1.0,-1,5600,-0.8914769887924194,20.6,24
113,-1.0,-1,5650,-0.8881887197494507,18.8,22
114,-1.0,-1,5700,-0.8882333040237427,22.1,23
115,-1.0,-1,5750,-0.8860201239585876,18.1,22
116,-1.0,-1,5800,-0.8883925676345825,20.5,29
117,-1.0,-1,5850,-0.8893921375274658,18.0,22
118,-1.0,-1,5900,-0.8916793465614319,11.5,22
119,-1.0,-1,5950,-0.8868659138679504,22.9,29
120,-1.0,-1,6000,-0.9041969776153564,22.5,29
121,-1.0,-1,6050,-0.8961851596832275,15.3,22
122,-1.0,-1,6100,-0.8923649787902832,22.0,23
123,-1.0,-1,6150,-0.8976951837539673,16.7,27
124,-1.0,-1,6200,-0.9047226905822754,10.9,13
125,-1.0,-1,6250,-0.8991916179656982,7.0,7
126,-1.0,-1,6300,-0.9053670763969421,13.0,13
127,-1.0,-1,6350,-0.9017211198806763,20.8,23
128,-1.0,-1,6400,-0.9030007719993591,19.8,30
129,-1.0,-1,6450,-0.9058569669723511,12.8,22
130,-1.0,-1,6500,-0.909873902797699,6.0,6
131,-1.0,-1,6550,-0.9065372347831726,7.0,7
132,-1.0,-1,6600,-0.9089385867118835,11.4,18
133,-1.0,-1,6650,-0.9023127555847168,22.2,24
134,-1.0,-1,6700,-0.906493067741394,20.9,27
135,-1.0,-1,6750,-0.9035505652427673,6.0,6
136,-1.0,-1,6800,-0.9094525575637817,22.0,23
137,-1.0,-1,6850,-0.9047293066978455,6.0,6
138,-1.0,-1,6900,-0.9056007266044617,20.6,23
139,-1.0,-1,6950,-0.899222195148468,14.1,25
140,-1.0,-1,7000,-0.8977224826812744,6.0,6
141,-1.0,-1,7050,-0.89927738904953,21.1,22
142,-1.0,-1,7100,-0.899975061416626,6.6,7
143,-1.0,-1,7150,-0.9009109139442444,10.0,10
144,-1.0,-1,7200,-0.8957102298736572,6.7,13
145,-1.0,-1,7250,-0.9009186029434204,11.7,15
146,-1.0,-1,7300,-0.8981018662452698,7.4,13
147,-1.0,-1,7350,-0.8993905782699585,23.0,26
148,-1.0,-1,7400,-0.8963944315910339,12.4,16
149,-1.0,-1,7450,-0.8986293077468872,11.2,22
150,-1.0,-1,7500,-0.9010149240493774,16.5,23
151,-1.0,-1,7550,-0.9056985378265381,14.4,24
152,-1.0,-1,7600,-0.8921460509300232,6.0,6
153,-1.0,-1,7650,-0.894178032875061,14.5,23
154,-1.0,-1,7700,-0.8858929872512817,20.7,29
155,-1.0,-1,7750,-0.8937191367149353,23.2,24
156,-1.0,-1,7800,-0.8892512321472168,12.4,18
157,-1.0,-1,7850,-0.8827972412109375,16.0,16
158,-1.0,-1,7900,-0.8904957175254822,16.4,22
159,-1.0,-1,7950,-0.8907265663146973,8.3,22
160,-1.0,-1,8000,-0.8902018070220947,22.0,22
161,-1.0,-1,8050,-0.8837541341781616,20.1,22
162,-1.0,-1,8100,-0.9006215333938599,17.4,21
163,-1.0,-1,8150,-0.9003866910934448,19.0,19
164,-1.0,-1,8200,-0.9013901948928833,13.4,25
165,-1.0,-1,8250,-0.8887804746627808,22.1,25
166,-1.0,-1,8300,-0.8951692581176758,6.0,6
167,-1.0,-1,8350,-0.889911949634552,17.5,23
168,-1.0,-1,8400,-0.8863834142684937,19.1,22
169,-1.0,-1,8450,-0.8904443979263306,8.1,13
