,avg_reward,best_reward,episode,q_vals,avg_steps,best_steps
0,-1.0,-1,0,0.113142229616642,8.3,19
1,-1.0,-1,50,-0.2197384089231491,7.8,24
2,-1.0,-1,100,-0.12179774791002274,21.8,26
3,-1.0,-1,150,-0.1523837000131607,22.1,23
4,-1.0,-1,200,-0.3428393602371216,15.6,22
5,-1.0,-1,250,-0.2165241688489914,22.7,25
6,-1.0,-1,300,-0.1465117186307907,20.2,28
7,-0.7,0,350,-0.178859144449234,32.7,53
8,-1.0,-1,400,-0.20257867872714996,23.7,31
9,-1.0,-1,450,-0.19095395505428314,22.9,25
10,-1.0,-1,500,-0.1534028947353363,20.9,29
11,-1.0,-1,550,-0.2141871303319931,25.2,29
12,-1.0,-1,600,-0.254977822303772,21.8,26
13,-1.0,-1,650,-0.22630535066127777,25.7,28
14,-1.0,-1,700,-0.2274915724992752,20.3,29
15,-1.0,-1,750,-0.18917134404182434,23.6,27
16,-1.0,-1,800,-0.13578975200653076,20.3,26
17,-0.9,0,850,-0.20536114275455475,25.9,52
18,-1.0,-1,900,-0.1568673551082611,23.4,33
19,-1.0,-1,950,-0.18835027515888214,23.6,28
20,-0.9,0,1000,-0.15979619324207306,24.4,45
21,-0.8,0,1050,-0.18214720487594604,30.2,53
22,-0.9,0,1100,-0.19009628891944885,27.4,51
23,-0.9,0,1150,-0.1513490527868271,26.6,55
24,-0.7,0,1200,-0.22237880527973175,30.7,55
25,-0.7,0,1250,-0.27310091257095337,31.6,59
26,-0.9,0,1300,-0.1802964210510254,23.6,54
27,-0.8,0,1350,-0.1934334635734558,29.2,51
28,-1.0,-1,1400,-0.20844507217407227,16.0,21
29,-0.8,0,1450,-0.2779911160469055,28.4,49
30,-1.0,-1,1500,-0.3256961405277252,18.6,22
31,-0.8,0,1550,-0.27086618542671204,25.0,43
32,-0.7,0,1600,-0.24689243733882904,32.0,59
33,-0.9,0,1650,-0.26781338453292847,28.8,51
34,-0.8,0,1700,-0.21494899690151215,29.6,55
35,-0.7,0,1750,-0.25379133224487305,30.1,54
36,-0.4,1,1800,-0.29284244775772095,40.3,80
37,-0.2,1,1850,-0.28906330466270447,47.8,80
38,-0.5,0,1900,-0.23912383615970612,31.8,48
39,-0.4,3,1950,-0.25230562686920166,41.4,138
40,-0.7,0,2000,-0.14711037278175354,32.8,61
41,-0.7,0,2050,-0.1762833595275879,29.8,51
42,-0.8,0,2100,-0.24134255945682526,17.4,38
43,1.1,12,2150,-0.19381478428840637,85.2,409
44,-0.3,1,2200,-0.23462247848510742,44.5,82
45,-0.3,1,2250,-0.1442892849445343,43.7,80
46,-0.3,2,2300,-0.1418350338935852,44.8,113
47,0.1,2,2350,-0.16538915038108826,55.2,115
48,0.0,2,2400,-0.17715959250926971,51.1,109
49,-0.2,1,2450,-0.14781013131141663,44.5,80
50,1.1,4,2500,-0.0696641132235527,80.2,162
51,-0.7,1,2550,-0.0912012979388237,31.1,84
52,-0.5,1,2600,-0.13965262472629547,32.9,73
53,0.0,2,2650,-0.08301955461502075,48.6,96
54,-0.3,1,2700,-0.07084687054157257,42.5,80
55,-0.5,1,2750,-0.05775188282132149,37.4,88
56,-0.1,3,2800,-0.04042908549308777,49.9,143
57,-0.2,2,2850,-0.0250745490193367,45.7,111
58,-0.1,4,2900,0.02355569414794445,49.1,161
59,1.0,6,2950,-0.007503679022192955,80.3,225
60,1.3,7,3000,0.06570341438055038,85.1,254
61,0.5,6,3050,0.041077595204114914,66.5,222
62,0.6,5,3100,0.07243159413337708,68.1,196
63,-0.4,2,3150,0.053639646619558334,42.6,112
64,0.9,5,3200,0.07203351706266403,77.7,201
65,0.2,6,3250,0.05661632493138313,59.8,225
66,0.3,3,3300,0.10588359832763672,59.9,138
67,0.0,3,3350,0.08804319053888321,49.9,138
68,1.0,4,3400,0.1815333366394043,80.9,167
69,0.1,2,3450,0.12698394060134888,55.3,115
70,1.0,7,3500,0.14943557977676392,80.8,258
71,0.3,2,3550,0.1668251007795334,60.3,121
72,2.3,9,3600,0.14979912340641022,118.6,312
73,0.5,4,3650,0.1314430683851242,64.6,168
74,0.3,3,3700,0.19004207849502563,54.9,135
75,1.7,10,3750,0.20884084701538086,102.1,344
76,0.9,6,3800,0.2413608878850937,77.9,225
77,0.1,1,3850,0.2275630086660385,53.4,85
78,0.3,3,3900,0.2775215208530426,60.0,138
79,0.7,4,3950,0.2201819121837616,70.5,170
80,1.0,4,4000,0.303591251373291,80.5,162
81,2.9,16,4050,0.26747027039527893,135.9,522
82,0.4,3,4100,0.34952953457832336,65.0,138
83,1.3,4,4150,0.34090059995651245,89.4,167
84,1.2,5,4200,0.3624257743358612,87.9,208
85,0.8,6,4250,0.3498017191886902,75.0,232
86,1.6,4,4300,0.392343670129776,99.2,173
87,2.4,10,4350,0.40203148126602173,122.9,342
88,1.7,5,4400,0.40763622522354126,102.4,205
89,0.9,4,4450,0.4269767999649048,71.7,160
90,0.5,2,4500,0.5272176265716553,67.8,114
91,1.3,6,4550,0.4703700840473175,93.3,228
92,3.3,11,4600,0.5356906652450562,151.0,378
93,2.7,7,4650,0.5271983742713928,130.4,254
94,0.3,3,4700,0.5994168519973755,61.4,146
95,1.6,9,4750,0.5661211013793945,101.0,313
96,3.0,11,4800,0.6301031708717346,140.0,370
97,1.7,9,4850,0.6094494462013245,102.6,302
98,3.3,14,4900,0.6191275715827942,148.2,458
99,2.0,5,4950,0.6464647650718689,111.3,197
100,0.8,5,5000,0.6858964562416077,76.2,196
101,0.6,4,5050,0.6734314560890198,62.8,161
102,0.5,7,5100,0.7231829762458801,64.8,254
103,3.0,15,5150,0.6768574714660645,139.7,488
104,1.7,7,5200,0.7007330060005188,102.1,254
105,3.0,9,5250,0.6978729963302612,142.2,314
106,3.5,12,5300,0.6933080554008484,154.0,400
107,2.3,12,5350,0.7162158489227295,121.5,399
108,0.6,3,5400,0.763018786907196,68.0,138
109,8.3,21,5450,0.7486706972122192,291.7,656
110,1.1,8,5500,0.7592865824699402,85.3,286
111,1.1,6,5550,0.7353569269180298,83.3,226
112,1.3,6,5600,0.7762492299079895,90.5,225
113,3.5,9,5650,0.7926594018936157,153.1,316
114,5.2,11,5700,0.8396682739257812,202.8,370
115,3.8,15,5750,0.8202310800552368,160.7,487
116,3.0,12,5800,0.8553928136825562,140.4,401
117,3.5,16,5850,0.834632396697998,155.2,515
118,1.1,4,5900,0.8390746116638184,84.3,170
119,1.9,12,5950,0.840979278087616,107.2,402
120,2.9,8,6000,0.8630192875862122,137.1,287
121,1.2,3,6050,0.8662117123603821,86.0,139
122,3.2,11,6100,0.9004529714584351,141.7,357
123,3.3,12,6150,0.9089648127555847,147.2,399
124,5.3,20,6200,0.9423575401306152,206.1,634
125,10.0,25,6250,0.9561681151390076,344.8,776
126,3.2,11,6300,1.023118019104004,143.4,370
127,6.4,25,6350,0.9680436849594116,237.1,781
128,7.0,15,6400,1.0221707820892334,256.1,486
129,5.0,25,6450,0.9803764224052429,196.0,773
130,5.7,18,6500,0.9892868995666504,218.0,574
131,3.8,11,6550,1.0369932651519775,162.1,370
132,4.2,17,6600,1.0327847003936768,171.5,544
133,6.1,22,6650,1.075536847114563,228.7,689
134,3.5,12,6700,1.112403392791748,154.5,399
135,6.6,19,6750,1.091774821281433,245.3,604
136,4.1,10,6800,1.104413628578186,171.4,346
137,12.4,34,6850,1.112707495689392,407.6,1000
138,3.8,12,6900,1.1259300708770752,159.0,394
139,1.8,6,6950,1.1463607549667358,105.6,227
140,0.3,5,7000,1.2282205820083618,58.2,198
141,2.1,10,7050,1.2224774360656738,112.7,341
142,9.6,24,7100,1.227941870689392,330.6,749
143,7.8,16,7150,1.2187987565994263,279.7,512
144,4.2,12,7200,1.248088002204895,173.8,401
145,7.6,34,7250,1.2567932605743408,268.5,1000
146,2.6,9,7300,1.2874915599822998,122.7,312
147,7.4,26,7350,1.260148048400879,266.3,807
148,4.6,15,7400,1.2682101726531982,181.9,486
149,4.7,11,7450,1.2741166353225708,189.2,374
